NAME,median_rent,zip code tabulation area,zip
ZCTA5 11432,1768,11432,11432
ZCTA5 11433,1321,11433,11433
ZCTA5 11434,1375,11434,11434
ZCTA5 11435,1775,11435,11435
ZCTA5 11436,2018,11436,11436
ZCTA5 11691,1424,11691,11691
ZCTA5 11692,1305,11692,11692
ZCTA5 11693,1137,11693,11693
ZCTA5 11694,1688,11694,11694
ZCTA5 11697,-666666666,11697,11697
