NAME,median_income,zip code tabulation area,zip
ZCTA5 11432,72001,11432,11432
ZCTA5 11433,73118,11433,11433
ZCTA5 11434,71728,11434,11434
ZCTA5 11435,76915,11435,11435
ZCTA5 11436,87685,11436,11436
ZCTA5 11691,59153,11691,11691
ZCTA5 11692,57687,11692,11692
ZCTA5 11693,72714,11693,11693
ZCTA5 11694,100190,11694,11694
ZCTA5 11697,134563,11697,11697
