NAME,rent_burden,zip code tabulation area,zip
ZCTA5 11432,11986,11432,11432
ZCTA5 11433,5786,11433,11433
ZCTA5 11434,11912,11434,11434
ZCTA5 11435,12537,11435,11435
ZCTA5 11436,1985,11436,11436
ZCTA5 11691,15591,11691,11691
ZCTA5 11692,5209,11692,11692
ZCTA5 11693,2897,11693,11693
ZCTA5 11694,3793,11694,11694
ZCTA5 11697,48,11697,11697
