NAME,housing_units,zip code tabulation area,zip
ZCTA5 11432,21263,11432,11432
ZCTA5 11433,11701,11433,11433
ZCTA5 11434,23991,11434,11434
ZCTA5 11435,20692,11435,11435
ZCTA5 11436,6463,11436,11436
ZCTA5 11691,22680,11691,11691
ZCTA5 11692,8600,11692,11692
ZCTA5 11693,5767,11693,11693
ZCTA5 11694,9042,11694,11694
ZCTA5 11697,2799,11697,11697
